ENCODE.File.Accession.Number,Assay.Name,Assay.Type
ENCFF001VOZ,TAL1,Transcription Factor
ENCFF002CYH,TAL1,Transcription Factor
ENCFF001VOL,POLR3G,RNA polymerase
ENCFF002CXT,POLR3G,RNA polymerase
ENCFF001VMI,CEBPB,Transcription Factor
ENCFF002CVV,CEBPB,Transcription Factor
ENCFF001VLW,ARID3A,Transcription Factor
ENCFF002CVL,ARID3A,Transcription Factor
ENCFF001VNY,NFYA,Transcription Factor
ENCFF002CXI,NFYA,Transcription Factor
ENCFF001VNN,IRF1,Transcription Factor
ENCFF002CWY,IRF1,Transcription Factor
ENCFF001VMX,RCOR1,Transcription Factor
ENCFF002CWK,RCOR1,Transcription Factor
ENCFF001VNS,MAX,Transcription Factor
ENCFF002CXD,MAX,Transcription Factor
ENCFF001VMN,JUN,Transcription Factor
ENCFF002CWB,JUN,Transcription Factor
ENCFF002CLT,CTCFL,Transcription Factor
ENCFF001VMD,BRF2,Transcription Factor
ENCFF002CVS,BRF2,Transcription Factor
ENCFF001VMA,BDP1,Transcription Factor
ENCFF002CVP,BDP1,Transcription Factor
ENCFF001VPI,XRCC4,Transcription Factor
ENCFF002CMW,YY1,Transcription Factor
ENCFF001VOG,POLR2A,RNA polymerase
ENCFF002CXP,POLR2A,RNA polymerase
ENCFF001VLY,ATF3,Transcription Factor
ENCFF002CVN,ATF3,Transcription Factor
ENCFF001VMP,JUN,Transcription Factor
ENCFF002CWC,JUN,Transcription Factor
ENCFF002CMR,TAF1,Transcription Factor
ENCFF001VMF,CCNT2,Transcription Factor
ENCFF002CVU,CCNT2,Transcription Factor
ENCFF002CMU,THAP1,Transcription Factor
ENCFF001VOF,POLR2A,RNA polymerase
ENCFF002CXO,POLR2A,RNA polymerase
ENCFF001VMS,MYC,Transcription Factor
ENCFF002CWF,MYC,Transcription Factor
ENCFF001VMO,JUN,Transcription Factor
ENCFF002CEP,HDAC6,Transcription Factor
ENCFF002CEU,RBBP5,Transcription Factor
ENCFF001VON,RFX5,Transcription Factor
ENCFF002CXV,RFX5,Transcription Factor
ENCFF001VNQ,MAFF,Transcription Factor
ENCFF002CXB,MAFF,Transcription Factor
ENCFF001VNJ,SMARCB1,Transcription Factor
ENCFF002CWU,SMARCB1,Transcription Factor
ENCFF001VOV,STAT1,Transcription Factor
ENCFF002CYD,STAT1,Transcription Factor
